127.0.0.1 - - [10/Jan/2019:20:03:28 -0200] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 18723
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/styles.css;jsessionid=57810D636DE0C45CF4899187180C7834?ln=css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-bluesky HTTP/1.1" 200 18328
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=57810D636DE0C45CF4899187180C7834?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=57810D636DE0C45CF4899187180C7834?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=57810D636DE0C45CF4899187180C7834?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=57810D636DE0C45CF4899187180C7834?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=57810D636DE0C45CF4899187180C7834?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=57810D636DE0C45CF4899187180C7834?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/images/default.png?ln=primefaces-bluesky HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/images/active.png?ln=primefaces-bluesky HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/images/header.png?ln=primefaces-bluesky HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_3d80b3_256x240.png?ln=primefaces-bluesky HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_72a7cf_256x240.png?ln=primefaces-bluesky HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:30 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:34 -0200] "POST /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=57810D636DE0C45CF4899187180C7834 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:34 -0200] "POST /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=57810D636DE0C45CF4899187180C7834 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:35 -0200] "POST /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=57810D636DE0C45CF4899187180C7834 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:35 -0200] "POST /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=57810D636DE0C45CF4899187180C7834 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:36 -0200] "POST /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=57810D636DE0C45CF4899187180C7834 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:36 -0200] "POST /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=57810D636DE0C45CF4899187180C7834 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [10/Jan/2019:20:03:37 -0200] "POST /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=57810D636DE0C45CF4899187180C7834 HTTP/1.1" 200 210
